Genome	orange_2.mags.sorted Relative Abundance (%)	orange_2.mags.sorted Trimmed Mean	orange_2.mags.sorted Covered Fraction
LeechJ_2020__ERS3967724__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2237_73323__bin_8_PROK.fna	0	0	0
LeechJ_xxxx__AF17__bin_2_EUK.fna	0	0	0
LeechJ_xxxx__AF45__bin_11_PROK.fna	0	0	0
LiZ_2018__SRS2920550__bin_19_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-16-BD__bin_41_EUK.fna	0	0	0
DuR_2020__DRS139333__bin_13_EUK.fna	0	0	0
LeechJ_xxxx__AF43__bin_12_PROK.fna	0	0	0
LiZ_2018__SRS2920550__bin_17_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2242_73323__bin_17_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2599__bin_16_EUK.fna	0	0	0
WolfeBE_2014__575_CabotClothbound__bin_6_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__KM-2D__bin_36_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GR002_73417__bin_7_PROK.fna	0	0	0
LeechJ_2020__ERS3967715__bin_7_PROK.fna	0	0	0
SternesPR_2017__Y2D1_A_shotgun__bin_3_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__PB007_73417__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GR111_73417__bin_1_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-14-M17__bin_27_PROK.fna	0	0	0
MortensenS_xxxx__WK040-1-L-48h-03F2_S66__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO013_71775__bin_23_PROK.fna	0	0	0
MortensenS_xxxx__WK059-2-L-48h-04H3_S37__bin_8_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-M9__bin_5_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803193__bin_3_PROK.fna	0	0	0
LeechJ_xxxx__AF55__bin_10_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__V-24__bin_20_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SR008_71775__bin_19_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-22__bin_3_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2249_73323__bin_15_PROK.fna	0	0	0
LeechJ_xxxx__AF69__bin_6_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FO011_71775__bin_15_PROK.fna	0	0	0
LeechJ_2020__ERS3967690__bin_3_PROK.fna	0	0	0
LeechJ_xxxx__AF54__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2144_73322__bin_14_PROK.fna	0	0	0
LeechJ_xxxx__AF84__bin_10_PROK.fna	0	0	0
LeechJ_xxxx__AF66__bin_4_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-BD__bin_54_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin_15_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-16__bin_1_PROK.fna	0	0	0
PothakosV_2020__ERS2068299__bin_21_PROK.fna	0	0	0
PothakosV_2020__ERS2068301__bin_18_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_28_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS07-22__bin_5_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM012_71775__bin_11_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2578__bin_9_PROK.fna	0	0	0
SulaimanJ_2014__SRS398268__bin_7_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_38_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-30__bin_33_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_6_PROK.fna	0	0	0
KumarJ_2019__SRS4562503__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PA001_71775__bin_3_PROK.fna	0	0	0
WalshAM_2017__ERS1739834__bin_1_PROK.fna	0	0	0
LeechJ_2020__ERS3967711__bin_13_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS06-22__bin_9_EUK.fna	0	0	0
MASTER_WP4_CSIC_1__P2238_73323__bin_12_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB14-22__bin_47_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C05-19__bin_11_PROK.fna	0	0	0
WalshAM_2020__ERS3466737__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PB007_73417__bin_16_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2598__bin_18_EUK.fna	0	0	0
LeechJ_2020__ERS3967744__bin_7_PROK.fna	0	0	0
LiZ_2018__SRS2920550__bin_1_PROK.fna	0	0	0
LeechJ_2020__ERS3967692__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2597__bin_19_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_75__bin_14_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS10-28__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2134_73322__bin_18_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM007_71775__bin_2_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin_32_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_57_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_7_PROK.fna	0	0	0
MortensenS_xxxx__WK069-1-L-08h-05C8_S78__bin_4_PROK.fna	0	0	0
CrovadoreJ_2017__SRS1919172__bin_12_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_115__bin_29_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_46_PROK.fna	0	0	0
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2630__bin_28_PROK.fna	0	0	0
LeechJ_xxxx__AF15__bin_7_PROK.fna	0	0	0
LandisEA_2021__SRS5653155__bin_4_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_34_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2618__bin_5_PROK.fna	0	0	0
LandisEA_2021__SRS5652995__bin_1_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q05-22__bin_10_PROK.fna	0	0	0
PasolliE_2020__SRS6525471__bin_1_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB06-21__bin_6_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803192__bin_16_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__D-22__bin_15_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_30_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__T-22__bin_25_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2149_73322__bin_12_PROK.fna	0	0	0
WalshAM_2020__ERS3466749__bin_4_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-16-M15__bin_1_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS07-25__bin_5_PROK.fna	0	0	0
MortensenS_xxxx__WK004-1-L-08h-01G4_S37__bin_2_PROK.fna	0	0	0
MilaniC_2019__SRS3591582__bin_17_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__PR005_71775__bin_12_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2574__bin_33_EUK.fna	0	0	0
ZhaoCC_2020__SRS5803194__bin_17_PROK.fna	0	0	0
LandisEA_2021__SRS5653168__bin_1_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-29__bin_11_PROK.fna	0	0	0
LeechJ_2020__ERS3967715__bin_12_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2147_73322__bin_24_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__AS107_71775__bin_17_PROK.fna	0	0	0
ChaconVargasK_2020__SRS6087091__bin_16_PROK.fna	0	0	0
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin_8_PROK.fna	0	0	0
Escobar-ZepedaA_2016__SRR2081070__bin_13_fa_PROK_MiFo_tagged.fna	0	0	0
MASTER_WP4_CSIC_2__P2600__bin_15_PROK.fna	0	0	0
PothakosV_2020__ERS2068302__bin_28_PROK.fna	0	0	0
LeechJ_xxxx__AF74__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FI010_71775__bin_17_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2588__bin_22_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__PR005_71775__bin_15_PROK.fna	0	0	0
WalshAM_2020__ERS3466737__bin_1_PROK.fna	0	0	0
WalshAM_2020__ERS3466790__bin_3_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-M7__bin_64_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_19_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q01-22__bin_9_PROK.fna	0	0	0
SalvettiE_2016__SRS1050146__bin_9_PROK.fna	0	0	0
ArikanM_2020__ERS1939655__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__B-22__bin_3_EUK.fna	0	0	0
WolfeBE_2014__626_Red_Hawk__bin_1_PROK.fna	0	0	0
LeechJ_xxxx__AF23__bin_7_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C05-18__bin_5_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin_37_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-M12__bin_17_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-22__bin_32_PROK.fna	0	0	0
SalvettiE_2016__SRS1050145__bin_5_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_15_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__E-20__bin_6_PROK.fna	0	0	0
BertuzziAS_2018__ERS2032120__bin_4_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803193__bin_4_PROK.fna	0	0	0
LeechJ_2020__ERS3967741__bin_9_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB09-20__bin_6_PROK.fna	0	0	0
LeechJ_xxxx__AF41__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2618__bin_30_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_19_PROK.fna	0	0	0
LeechJ_2020__ERS3967688__bin_4_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_1_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_111__bin_14_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_7__bin_7_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM003_71775__bin_3_PROK.fna	0	0	0
ChaconVargasK_2020__SRS6087090__bin_7_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2578__bin_28_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q03-29__bin_2_EUK.fna	0	0	0
LeechJ_xxxx__AF82__bin_13_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2233_73323__bin_10_PROK.fna	0	0	0
PothakosV_2020__ERS2068299__bin_29_PROK.fna	0	0	0
WalshAM_2017__ERS1739831__bin_4_PROK.fna	0	0	0
WalshAM_2020__ERS3466743__bin_7_PROK.fna	0	0	0
WolfeBE_2014__679_Raclette__bin_1_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_75__bin_16_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_70__bin_1_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C05-17__bin_20_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2136_73322__bin_3_PROK.fna	0	0	0
ArikanM_2020__ERS1939656__bin_4_EUK.fna	0	0	0
SalvettiE_2016__SRS1050145__bin_18_PROK.fna	0	0	0
LeechJ_xxxx__AF55__bin_6_PROK.fna	0	0	0
MortensenS_xxxx__WK064-1-L-48h-05A3_S55__bin_6_PROK.fna	0	0	0
WalshL_xxxx__Q3__bin_4_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803194__bin_38_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_104__bin_11_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803194__bin_14_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_24_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_18_PROK.fna	0	0	0
EscobarZepedaA_2016__SRS974112__bin_20_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2614__bin_52_EUK.fna	0	0	0
MortensenS_xxxx__WK029-1-L-08h-03A2_S21__bin_5_PROK.fna	0	0	0
LeechJ_2020__ERS3967713__bin_12_PROK.fna	0	0	0
LeechJ_xxxx__AF43__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__A-22__bin_12_EUK.fna	0	0	0
MASTER_WP4_CSIC_2__P2524__bin_3_EUK.fna	0	0	0
WalshAM_2020__ERS3466737__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__AS006_71775__bin_7_EUK.fna	0	0	0
DeFilippisF_xxxx__DF_118__bin_13_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C05-18__bin_20_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-19__bin_21_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-08-M4__bin_24_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FO013_71775__bin_2_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q06-22__bin_1_PROK.fna	0	0	0
MortensenS_xxxx__WK042-1-L-48h-03G1_S74__bin_3_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2239_73323__bin_20_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__DC18-F-AR__bin_16_PROK.fna	0	0	0
LeechJ_2020__ERS3967711__bin_6_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-28__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO004_71775__bin_8_PROK.fna	0	0	0
CM_INJERA__injera_E1__bin_16_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-29__bin_12_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-22__bin_24_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SF013_71775__bin_21_EUK.fna	0	0	0
SalvettiE_2016__SRS1050146__bin_17_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2138_73322__bin_7_PROK.fna	0	0	0
XieM_2019__SAMC044639__bin_9_PROK.fna	0	0	0
LeechJ_xxxx__AF57__bin_5_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2517__bin_14_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_7_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SP009_71775__bin_32_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB01-30__bin_8_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q06-22__bin_2_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2136_73322__bin_26_PROK.fna	0	0	0
YulandiA_2020__SRS6115052__bin_2_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_18_PROK.fna	0	0	0
MortensenS_xxxx__WK008-2-G-48h-01D2_S8__bin_1_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS06-22__bin_7_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2588__bin_7_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__FI010_71775__bin_6_PROK.fna	0	0	0
LeechJ_2020__ERS3967715__bin_8_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C02-19__bin_10_EUK.fna	0	0	0
LiZ_2018__SRS2920550__bin_20_EUK.fna	0	0	0
LordanR_2019__ERS2955443__bin_2_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-M11__bin_27_PROK.fna	0	0	0
WalshL_xxxx__H3_S87__bin_16_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS07-22__bin_3_EUK.fna	0	0	0
XieM_2019__SAMC044639__bin_27_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2135_73322__bin_7_PROK.fna	0	0	0
LandisEA_2021__SRS5652995__bin_10_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__N-22__bin_20_EUK.fna	0	0	0
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin_11_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS09-22__bin_4_EUK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS07-21__bin_8_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2155_73322__bin_6_PROK.fna	0	0	0
WalshL_xxxx__I1__bin_1_PROK.fna	0	0	0
LeechJ_2020__ERS3967734__bin_7_PROK.fna	0	0	0
LeechJ_2020__ERS3967738__bin_4_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2247_73323__bin_28_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS15-30__bin_7_EUK.fna	0	0	0
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin_6_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-30__bin_2_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C02-19__bin_11_EUK.fna	0	0	0
MASTER_WP4_CSIC_1__P2191_73322__bin_5_PROK.fna	0	0	0
YulandiA_2020__SRS6115053__bin_23_PROK.fna	0	0	0
LeechJ_xxxx__AF16__bin_7_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__C02-18__bin_2_EUK.fna	0	0	0
MortensenS_xxxx__WK015-1-L-08h-02C3_S81__bin_5_PROK.fna	0	0	0
LeonardSR_2016__SRS1659775__bin_2_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__T-22__bin_12_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2235_73323__bin_16_EUK.fna	0	0	0
KumarJ_2019__SRS4562502__bin_1_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_21__bin_9_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB11-26__bin_7_PROK.fna	0	0	0
WalshAM_2020__ERS3466776__bin_13_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-29__bin_11_PROK.fna	0	0	0
LeechJ_2020__ERS3967701__bin_5_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-02__bin_9_PROK.fna	0	0	0
LeechJ_xxxx__AF31__bin_3_PROK.fna	0	0	0
LeechJ_2020__ERS3967741__bin_14_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803195__bin_23_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_3_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-15-BD__bin_16_EUK.fna	0	0	0
LeechJ_2020__ERS3967694__bin_5_EUK.fna	0	0	0
MASTER_WP4_CSIC_2__P2584__bin_5_PROK.fna	0	0	0
MortensenS_xxxx__WK049-1-L-08h-05A6_S58__bin_2_PROK.fna	0	0	0
LeechJ_2020__ERS3967699__bin_2_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__F02-19__bin_16_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB06-29__bin_15_PROK.fna	0	0	0
LeechJ_2020__ERS3967723__bin_8_PROK.fna	0	0	0
PfeferT_xxxx__SRS2870593__bin_6_PROK.fna	0	0	0
LeechJ_2020__ERS3967699__bin_8_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803193__bin_13_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_31_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_91__bin_4_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__GO102_71775__bin_42_PROK.fna	0	0	0
WolfeBE_2014__671_Grayson__bin_10_PROK.fna	0	0	0
LiZ_2019__SRS3379157__bin_3_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS08-29__bin_46_EUK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_1_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin_48_PROK.fna	0	0	0
